id,Track Name,key,mode,time_signature
0,track_1,2.0,minor,type 4
1,track_1,5.0,major,type 4
2,track_1,2.0,major,type 4
3,track_1,7.0,major,type 4
4,track_1,9.0,major,type 4
5,track_1,2.0,major,type 4
6,track_1,5.0,major,type 4
7,track_6,10.0,minor,type 4
8,track_1,2.0,major,type 4
9,track_1,2.0,major,type 4
10,track_1,11.0,minor,type 4
11,track_1,7.0,major,type 4
12,track_1,2.0,major,type 4
13,track_1,7.0,minor,type 4
14,track_9,7.0,major,type 4
15,track_1,11.0,major,type 4
16,track_1,2.0,minor,type 4
17,track_1,2.0,major,type 5
18,track_1,4.0,minor,type 4
19,track_1,2.0,major,type 4
20,track_15,2.0,major,type 4
21,track_1,7.0,minor,type 4
22,track_1,9.0,major,type 4
23,track_8,8.0,major,type 4
24,track_1,3.0,minor,type 4
25,track_7,2.0,major,type 4
26,track_1,5.0,major,type 3
27,track_1,8.0,minor,type 3
28,track_1,9.0,minor,type 4
29,track_1,1.0,major,type 4
30,track_1,7.0,minor,type 4
31,track_14,6.0,major,type 3
32,track_1,7.0,major,type 4
33,track_1,4.0,major,type 4
34,track_1,9.0,minor,type 4
35,track_1,10.0,minor,type 5
36,track_1,8.0,major,type 4
37,track_1,7.0,major,type 4
38,track_1,3.0,major,type 1
39,track_1,1.0,major,type 4
40,track_1,7.0,major,type 4
41,track_1,5.0,major,type 4
42,track_1,7.0,major,type 4
43,track_1,8.0,minor,type 4
44,track_1,4.0,major,type 4
45,track_1,7.0,major,type 4
46,track_1,8.0,major,type 5
47,track_1,7.0,major,type 3
48,track_25,7.0,major,type 4
49,track_1,9.0,minor,type 4
50,track_1,4.0,major,type 4
51,track_1,2.0,minor,type 4
52,track_1,4.0,minor,type 4
53,track_1,1.0,major,type 4
54,track_1,8.0,major,type 4
55,track_1,1.0,minor,type 3
56,track_1,4.0,minor,type 4
57,track_1,10.0,minor,type 4
58,track_1,1.0,major,type 4
59,track_1,5.0,minor,type 4
60,track_2,6.0,minor,type 4
61,track_1,7.0,major,type 4
62,track_1,9.0,minor,type 3
63,track_1,9.0,major,type 4
64,track_14,4.0,minor,type 4
65,track_1,8.0,major,type 4
66,track_1,9.0,minor,type 4
67,track_1,11.0,minor,type 4
68,track_1,5.0,minor,type 3
69,track_13,11.0,minor,type 4
70,track_1,2.0,major,type 4
71,track_1,4.0,major,type 4
72,track_1,10.0,minor,type 4
73,track_1,10.0,minor,type 4
74,track_1,8.0,minor,type 1
75,track_1,5.0,major,type 4
76,track_1,10.0,major,type 4
77,track_1,3.0,minor,type 4
78,track_1,5.0,minor,type 4
79,track_1,6.0,major,type 4
80,track_1,7.0,minor,type 4
81,track_1,7.0,minor,type 4
82,track_1,3.0,minor,type 4
83,track_1,7.0,major,type 4
84,track_1,11.0,minor,type 4
85,track_1,2.0,minor,type 4
86,track_2,5.0,minor,type 4
87,track_3,8.0,major,type 4
88,track_1,7.0,major,type 3
89,track_1,8.0,minor,type 4
90,track_1,11.0,minor,type 4
91,track_10,5.0,minor,type 4
92,track_1,8.0,major,type 4
93,track_1,7.0,minor,type 4
94,track_40,5.0,minor,type 4
95,track_1,3.0,major,type 4
96,track_1,4.0,major,type 3
97,track_1,7.0,major,type 4
98,track_1,5.0,major,type 3
99,track_1,2.0,minor,type 4
100,track_1,8.0,major,type 4
101,track_1,7.0,major,type 5
102,track_1,1.0,minor,type 4
103,track_12,11.0,minor,type 4
104,track_1,10.0,major,type 4
105,track_1,6.0,minor,type 3
106,track_1,1.0,minor,type 4
107,track_1,5.0,major,type 4
108,track_1,10.0,minor,type 4
109,track_1,4.0,major,type 4
110,track_1,9.0,major,type 4
111,track_1,8.0,minor,type 4
112,track_1,10.0,minor,type 4
113,track_1,11.0,minor,type 4
114,track_1,11.0,minor,type 4
115,track_1,4.0,major,type 4
116,track_1,5.0,minor,type 4
117,track_1,8.0,major,type 4
118,track_1,3.0,major,type 4
119,track_2,11.0,major,type 4
120,track_1,9.0,minor,type 4
121,track_1,2.0,minor,type 4
122,track_1,7.0,minor,type 4
123,track_1,8.0,major,type 4
124,track_1,2.0,major,type 3
125,track_1,3.0,major,type 4
126,track_1,2.0,major,type 4
127,track_1,6.0,minor,type 3
128,track_8,9.0,major,type 3
129,track_1,11.0,minor,type 4
130,track_1,7.0,minor,type 4
131,track_1,10.0,major,type 3
132,track_1,10.0,minor,type 4
133,track_1,10.0,major,type 4
134,track_3,7.0,major,type 4
135,track_1,10.0,major,type 4
136,track_1,9.0,major,type 3
137,track_1,10.0,minor,type 1
138,track_1,5.0,minor,type 4
139,track_5,1.0,major,type 4
140,track_1,11.0,major,type 4
141,track_1,7.0,minor,type 4
142,track_1,5.0,major,type 3
143,track_2,1.0,major,type 3
144,track_1,1.0,major,type 4
145,track_1,11.0,minor,type 4
146,track_1,5.0,major,type 4
147,track_1,2.0,major,type 4
148,track_1,5.0,major,type 4
149,track_1,4.0,major,type 3
150,track_1,7.0,major,type 4
151,track_1,2.0,major,type 5
152,track_1,10.0,minor,type 4
153,track_1,7.0,minor,type 4
154,track_1,9.0,major,type 3
155,track_1,8.0,major,type 4
156,track_14,9.0,minor,type 4
157,track_1,8.0,major,type 4
158,track_1,7.0,major,type 4
159,track_1,4.0,major,type 4
160,track_1,8.0,major,type 4
161,track_1,2.0,minor,type 4
162,track_1,6.0,major,type 3
163,track_1,7.0,major,type 4
164,track_1,8.0,major,type 3
165,track_1,10.0,major,type 4
166,track_6,7.0,minor,type 4
167,track_1,6.0,major,type 4
168,track_1,10.0,minor,type 4
169,track_1,11.0,minor,type 4
170,track_1,9.0,major,type 1
171,track_1,7.0,major,type 4
172,track_1,6.0,minor,type 4
173,track_1,2.0,major,type 4
174,track_1,8.0,minor,type 4
175,track_1,11.0,minor,type 4
176,track_1,6.0,minor,type 3
177,track_9,11.0,major,type 4
178,track_1,6.0,minor,type 4
179,track_1,8.0,minor,type 4
180,track_1,3.0,minor,type 4
181,track_1,4.0,minor,type 4
182,track_1,9.0,minor,type 4
183,track_1,4.0,minor,type 4
184,track_1,7.0,major,type 4
185,track_1,5.0,major,type 4
186,track_1,6.0,minor,type 4
187,track_1,4.0,major,type 4
188,track_1,6.0,major,type 4
189,track_1,7.0,major,type 4
190,track_1,5.0,major,type 4
191,track_1,9.0,major,type 4
192,track_1,11.0,major,type 4
193,track_1,11.0,minor,type 3
194,track_1,7.0,major,type 3
195,track_1,1.0,major,type 4
196,track_1,9.0,minor,type 4
197,track_2,1.0,major,type 4
198,track_1,5.0,major,type 4
199,track_1,7.0,major,type 4
200,track_1,1.0,major,type 3
201,track_1,2.0,major,type 4
202,track_1,1.0,major,type 4
203,track_1,9.0,major,type 4
204,track_1,4.0,minor,type 4
205,track_1,9.0,major,type 4
206,track_1,7.0,major,type 4
207,track_11,2.0,major,type 4
208,track_12,10.0,major,type 4
209,track_1,2.0,major,type 4
210,track_1,5.0,minor,type 4
